,CARNAME,ID,Make,Model,Body color,Type of finish,Interior color,Interior material,Body,Doors,Seats,VIN,Fuel,Transmission,Drive type,Power,El. motor power,CO2 emissions,Emission class,Battery type,AC charging time,DC charging time,Battery warranty (km),Range extender,Mileage,First registration,Condition,Consumption,Price,Currency,Tags,Engine capacity,Valid MOT until,Previous owners,Engine power,Battery capacity,Hybrid type,Electric range,Warranty until,Weight,Country of origin,Secondary drive,Energy efficiency,Full service history
626,renault clio,61024138,Renault,Clio,Grey,Metallic,Grey interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,66 kW,,0 g/km,Euro 6d,,,,,,19 687 km,3/2023,Used,,20349,EUR,LED headlights; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Navigation system; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor,999 ccm,,,,,,,,1157,Germany,,,
627,bmw ix1,61024112,BMW,iX1,Grey,,Black interior,Alcantara interior,Hatchback,4/5 doors,5,not published by the seller,Electric,Automatic,4x4,230 kW,,0 g/km,,,,,,,5 km,1/2023,New,0 kWh/100km (combined),68899,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Electric adjustable front seats; Harman/Kardon audio; Heated front seats; Apple CarPlay; Android auto; Internet connection; Panoramic roof,,,,,,,,,,,,,
628,mercedes-benz gla-220,61024117,Mercedes-Benz,GLA 220,White,,,,SUV / offroad,4/5 doors,,not published by the seller,Petrol,Automatic,4x4,135 kW,,152 g/km,,,,,,,37 490 km,5/2019,,6.5 l/100km (combined),30399,EUR,Heated rear seats; LED headlights; Heated front seats; Keyless ignition; Navigation system; El. tailgate; Bluetooth; Rear parking camera; Automatic 2-zones air conditioning; Rain sensor,1 991 ccm,,,,,,,,,,,,
629,suzuki vitara,61024123,Suzuki,Vitara,,,Other interior color,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x4,88 kW,,111 g/km,Euro 6,,,,,,127 000 km,11/2015,,4.2 l/100km (combined); 4.7 l/100km (city); 4 l/100km ,15699,EUR,Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Panoramic roof; Voice control; Navigation system; Bluetooth,1 598 ccm,,1,,,,,,,,,,
630,opel combo,61024124,Opel,Combo,Grey,Metallic,Other interior color,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,119 g/km,Euro 6d,,,,,,6 890 km,11/2022,,5.2 l/100km (combined),31999,EUR,Parking assist system self-steering; Keyless entry; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system; Paddle shifters,1 199 ccm,11/2024,1,,,,,,,,,,
631,abarth 595-turismo,61024120,Abarth,595 Turismo,Orange,,Black interior,Full leather interior,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,121 kW,,0 g/km,Euro 6d-TEMP,,,,,,5 km,9/2023,New,,32049,EUR,Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Bi-xenon headlights; Bluetooth; Sport-suspension system; Leather,1 368 ccm,,,,,,,,,Germany,,,
632,renault clio,61024127,Renault,Clio,White,,,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,66 kW,,104 g/km,Euro 6,,,,,,62 092 km,3/2019,Used,4 l/100km (combined); 4.1 l/100km (city); 3.8 l/100km ,14399,EUR,Hill-start assist; Daytime running lights; Electrically heated side mirrors; Leather steering wheel; Front electric windows,1 461 ccm,,,,,,,12/2024,,,,,
633,abarth 500,61024118,Abarth,500,Black,Metallic,Black interior,,Hatchback,2/3 doors,4,not published by the seller,Petrol,Manual,4x2,121 kW,,152 g/km,Euro 6,,,,,,3 730 km,12/2022,Used,6.4 l/100km (combined),26299,EUR,Automatic A/C,1 368 ccm,,1,,,,,,,,,,
634,suzuki jimny,61024126,Suzuki,Jimny,Brown,,Black interior,Cloth interior,SUV / offroad,2/3 doors,4,not published by the seller,Petrol,Automatic,4x4,63 kW,,167 g/km,Euro 5,,,,,,100 000 km,10/2017,,7.3 l/100km (combined); 9 l/100km (city); 6.3 l/100km ,16299,EUR,Heated front seats; Side mirrors with electic adjustment; Electrically heated side mirrors; Front electric windows; Detachable trailer coupling,1 328 ccm,,2,,,,,,,,,,
635,opel combo,61024113,Opel,Combo,White,,,,Cargo VAN,4/5 doors,5,W0VECYHZJLJ674627,Diesel,Manual,4x2,96 kW,,117 g/km,,,,,,,100 637 km,1/2020,Used,4.4 l/100km (combined),18749,EUR,,1 499 ccm,,,,,,,,,,,,
636,skoda superb,61024116,Skoda,Superb,White,,Black interior,Cloth interior,Station Wagon,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,160 kW,85 kW,127 g/km,Euro 6d,Lithium-ion (Li-ion),4 h,,,No,42 108 km,10/2020,,5.6 l/100km (combined),26649,EUR,LED headlights; Digital cockpit; Keyless entry; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Keyless ignition; Voice control; Navigation system,1 395 ccm,,1,,13 kWh,Plug-in hybrid,,,,,,,
637,renault captur,61024115,Renault,Captur,White,Metallic,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,67 kW,,121 g/km,Euro 6d-TEMP,,,,,,20 km,12/2022,Used,5.9 l/100km (combined),25649,EUR,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Integrated music streaming; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,999 ccm,,,,,,,,1306,,,,
638,bmw x6,61024128,BMW,X6,White,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,250 kW,,164 g/km,No emission class,,,,,,57 350 km,6/2021,Used,6.2 l/100km (combined); 6.2 l/100km (city); 6.2 l/100km ,85049,EUR,Heated front seats; Sport front seats; Bluetooth; High beam assist; Rain sensor; Alloy wheels,2 993 ccm,,,,,,,,2290,Spain,,,
639,peugeot 2008,61024130,Peugeot,2008,Orange,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,103 g/km,No emission class,,,,,,65 400 km,7/2020,Used,5.6 l/100km (combined); 4.5 l/100km (city); 4.5 l/100km ,21099,EUR,,1 199 ccm,,,,,,,,1192,Spain,,,
640,dodge challenger,61024096,Dodge,Challenger,Green,,Black interior,Alcantara interior,Coupe,2/3 doors,5,not published by the seller,Petrol,Automatic,4x2,362 kW,,0 g/km,Euro 6,,,,,,15 800 km,3/2023,,,59499,EUR,LED headlights; Keyless entry; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Keyless ignition; Voice control; Navigation system,6 417 ccm,07/2025,,,,,,,,,,,
641,opel mokka,61024098,Opel,Mokka,Grey,Metallic,Other interior color,Cloth interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,111 g/km,Euro 6d,,,,,,500 km,8/2023,,4.9 l/100km (combined),31499,EUR,LED headlights; Digital cockpit; Apple CarPlay; Android auto; Voice control; Paddle shifters; Traffic sign recognition; Bluetooth; Automatic A/C; High beam assist,1 199 ccm,08/2026,1,,,,,,,,,,
642,opel crossland,61024088,Opel,Crossland,Silver,,,,SUV / offroad,4/5 doors,5,W0V7H9ED9N4432017,Petrol,Manual,4x2,81 kW,,108 g/km,,,,,,,5 159 km,1/2022,Used,4.7 l/100km (combined),21349,EUR,Heated front seats; Apple CarPlay; Android auto; Heated steering wheel; Traffic sign recognition; Bluetooth; Automatic A/C; Automatic lights; Rain sensor; Light sensor,1 199 ccm,,,,,,,,,,,,
643,land-rover discovery-sport,61024097,Land Rover,Discovery Sport,Grey,,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Automatic,4x4,132 kW,,139 g/km,Euro 6,,,,,,86 590 km,2/2018,Used,5.2 l/100km (combined),29299,EUR,Heated front seats; Rear parking camera; Automatic A/C; Rain sensor; Lane assist; Electrically heated side mirrors; Alarm; Alloy wheels,1 999 ccm,,,,,,,12/2024,,,,,
644,opel mokka,61024108,Opel,Mokka,Blue,Metallic,,,SUV / offroad,4/5 doors,,not published by the seller,Electric,Automatic,4x2,100 kW,,0 g/km,,,,,,,4 100 km,5/2023,,,45349,EUR,Electric adjustable front seats; Bluetooth; Rear parking camera; Automatic A/C; Rain sensor; Light sensor; Lane assist; Front collision warning system; Multifunctional steering wheel; On-board computer,,,,,,,,,,,,,
645,peugeot 3008,61024087,Peugeot,3008,White,,Black interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,120 g/km,Euro 6,,,,,,32 263 km,1/2021,Used,6.2 l/100km (combined),27349,EUR,El. tailgate; Automatic parking brake,1 199 ccm,,1,,,,,12/2024,,,,,
646,peugeot 208,61024111,Peugeot,208,,,Other interior color,Other interior material,Hatchback,4/5 doors,,not published by the seller,Hybrid,Automatic,4x2,96 kW,,99 g/km,Euro 6,,,,,,1 km,8/2023,New,5.5 l/100km (combined); 4.6 l/100km (city); 4.6 l/100km ,27649,EUR,LED headlights; Digital cockpit; Smartphone mirroring; Apple CarPlay; Android auto; WLAN/Wifi hotspot; Navigation system; Traffic sign recognition; Bluetooth; Automatic A/C,1 199 ccm,,,,,,,,,,,,
647,cupra formentor,61024107,Cupra,Formentor,Orange,Metallic,Other interior color,Full leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Automatic,4x4,287 kW,,212 g/km,Euro 6,,,,,,10 km,10/2023,,9.3 l/100km (combined),51999,EUR,Parking assist system self-steering; LED headlights; Digital cockpit; Keyless entry; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Apple CarPlay; Android auto; Integrated music streaming,2 480 ccm,,,,,,,,,,,,
648,volkswagen golf,61024105,Volkswagen,Golf,Black,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,162 kW,,139 g/km,Euro 6,,,,,,149 999 km,5/2014,Used,6 l/100km (combined); 6 l/100km (city); 6 l/100km ,16399,EUR,Heated front seats; Navigation system; Sport front seats; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning; Sport-suspension system; Rain sensor; Light sensor; Parking sensors,1 984 ccm,,,,,,,,,Germany,,,
649,renault master,61024093,Renault,Master,White,,,,Cargo VAN,4/5 doors,3,not published by the seller,Diesel,Automatic,4x2,110 kW,,178 g/km,Euro 6,,,,,,12 208 km,6/2020,Used,6.7 l/100km (combined),33399,EUR,Blind spot assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Electrically heated side mirrors; On-board computer; Start-stop system; Ambient lighting; USB; AUX,2 298 ccm,,,,,,,06/2024,,,,,
650,peugeot 308,61024099,Peugeot,308,White,Metallic,Black interior,Cloth interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Automatic,4x2,96 kW,,106 g/km,Euro 6,,,,,,44 898 km,5/2017,Used,4.4 l/100km (combined),17949,EUR,Smart key; Keyless ignition; Voice control; Navigation system; Heated steering wheel; El. tailgate; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Automatic lights,1 199 ccm,,,,,,,06/2024,,,,,
651,ford mustang,61024109,Ford,Mustang,,,Black interior,,Cabriolet,2/3 doors,4,not published by the seller,Petrol,Automatic,4x2,310 kW,,289 g/km,Euro 6,,,,,,26 000 km,11/2017,Used,12 l/100km (combined); 20 l/100km (city); 8.7 l/100km ,44999,EUR,Smart key; Electric adjustable front seats; Keyless ignition; Voice control; Heated steering wheel; El. tailgate; Paddle shifters; Bi-xenon headlights; Bluetooth; Automatic 2-zones air conditioning,4 951 ccm,,1,,,,,12/2024,,,,,
652,volkswagen caddy,61024089,Volkswagen,Caddy,Black,Metallic,Black interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,75 kW,,141 g/km,No emission class,,,,,,92 000 km,12/2019,,5.3 l/100km (combined); 6 l/100km (city); 5 l/100km ,39999,EUR,Heated front seats; Apple CarPlay; Android auto; Navigation system; Bluetooth; Automatic A/C; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 968 ccm,,,,,,,,,,,,
653,audi q5,61024104,Audi,Q5,Black,,,Cloth interior,SUV / offroad,4/5 doors,,not published by the seller,Diesel,Automatic,4x4,150 kW,,140 g/km,,,,,,No,1 km,1/2023,New,5.3 l/100km (combined),68599,EUR,LED headlights; Digital cockpit; Bang & Olufsen audio; Navigation system; Bluetooth; Sport-suspension system; Automatic A/C; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 968 ccm,,,,,Mild hybrid,,,,,,,
654,peugeot 3008,61024106,Peugeot,3008,Red,,Black interior,Part leather interior,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,96 kW,,117 g/km,Euro 6,,,,,,65 283 km,2/2019,Used,5.1 l/100km (combined); 5.1 l/100km (city); 5.1 l/100km ,22099,EUR,Digital cockpit; Keyless entry; Keyless ignition; El. tailgate; Traffic sign recognition; Bluetooth; Automatic A/C; Rain sensor; Light sensor; Lane assist,1 199 ccm,,,,,,,,1295,,,,
655,peugeot 208,61024110,Peugeot,208,White,,,,Hatchback,2/3 doors,5,not published by the seller,Petrol,Manual,4x2,153 kW,,125 g/km,Euro 6,,,,,,62 536 km,10/2017,Used,5.2 l/100km (combined),18699,EUR,Navigation system; Bluetooth; Rain sensor; Hill-start assist; Daytime running lights; Electrically foldable side mirrors; Alloy wheels,1 598 ccm,,,,,,,12/2024,,,,,
656,renault clio,61024103,Renault,Clio,White,,Black interior,Cloth interior,Hatchback,4/5 doors,4,not published by the seller,Petrol,Manual,4x2,49 kW,,124 g/km,Euro 6d,,,,,,8 940 km,1/2023,Used,5 l/100km (combined),17849,EUR,LED headlights; Voice control; Navigation system; Traffic sign recognition; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Hill-start assist; Front collision warning system,999 ccm,,1,,,,,,,,,,
657,ford focus,61024092,Ford,Focus,Grey,,,,Station Wagon,4/5 doors,5,WF0PXXGCHPLA63199,Diesel,Manual,4x2,70 kW,,96 g/km,,,,,,,131 722 km,1/2020,Used,4.2 l/100km (combined),14649,EUR,Android auto; Bluetooth; Adaptive lighting; Automatic lights; Rain sensor; Lane assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Leather steering wheel,1 499 ccm,,,,,,,,,,,,
658,opel combo,61024101,Opel,Combo,Silver,Metallic,Grey interior,Cloth interior,Cargo VAN,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,75 kW,,110 g/km,Euro 6d-TEMP,,,,,,53 300 km,7/2019,Used,4.2 l/100km (combined),23399,EUR,Voice control; Heated steering wheel; Traffic sign recognition; Bluetooth; Light sensor; Lane assist; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment; Leather steering wheel,1 499 ccm,,,,,,,,1480,Germany,,,
659,dacia dokker,61024081,Dacia,Dokker,White,,Other interior color,Other interior material,Cargo VAN,4/5 doors,2,not published by the seller,Petrol,Manual,4x2,61 kW,,175 g/km,Euro 5,,,,,,110 000 km,9/2013,Used,7.5 l/100km (combined); 7.5 l/100km (city); 7.5 l/100km ,6299,EUR,Bluetooth; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights; Electrically heated side mirrors; On-board computer; Front electric windows,1 598 ccm,,,,,,,,1213,,,,
660,opel combo,61024074,Opel,Combo,Silver,Metallic,Black interior,Cloth interior,Cargo VAN,,,not published by the seller,Diesel,Automatic,4x2,96 kW,,116 g/km,Euro 6d-TEMP,,,,,,99 300 km,3/2019,Used,4.3 l/100km (combined),24149,EUR,Keyless entry; Keyless ignition; Paddle shifters; Traffic sign recognition; Bluetooth; Rain sensor; Light sensor; Hill-start assist; Multifunctional steering wheel; Side mirrors with electic adjustment,1 500 ccm,,,,,,,,,Italy,,,
661,maserati levante,61024075,Maserati,Levante,Black,,,Full leather interior,SUV / offroad,4/5 doors,5,ZN6AU61B00X389014,Petrol,Automatic,4x4,243 kW,,0 g/km,,,,,,,17 000 km,1/2021,Used,,113449,EUR,Heated rear seats; Parking assist system self-steering; Front seats with memory; Electric adjustable front seats; Heated front seats; Apple CarPlay; Android auto; Panoramic roof; Navigation system; Paddle shifters,1 995 ccm,,,,,,,,,,,,
662,land-rover range-rover,61024084,Land Rover,Range Rover,Brown,Metallic,,,SUV / offroad,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x4,375 kW,,18 g/km,Euro 6,,,,,No,9 000 km,7/2023,Used,,174899,EUR,Front seats with memory; Electric adjustable front seats; Adaptive cruise control; Heated front seats; Head-up display; Automatic multi-zone A/C; Voice control; Navigation system; Heated steering wheel; Traffic sign recognition,2 996 ccm,,,,,Full hybrid,110 km,12/2025,,,,,
663,mercedes-benz vito,61024082,Mercedes-Benz,Vito,Silver,,,Cloth interior,Cargo VAN,4/5 doors,9+,W1V44770313765861,Diesel,Automatic,4x2,120 kW,,153 g/km,,,,,,,93 000 km,1/2020,Used,5.8 l/100km (combined),42749,EUR,Apple CarPlay; Android auto; Voice control; Navigation system; Paddle shifters; Bluetooth; Automatic lights; Rain sensor; Light sensor; Hill-start assist,1 950 ccm,,,,,,,,,,,,
664,bmw 116,61024078,BMW,116,White,,Other interior color,Other interior material,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,85 kW,,103 g/km,Euro 6,,,,,,68 450 km,7/2020,,3.9 l/100km (combined); 4.2 l/100km (city); 3.7 l/100km ,30349,EUR,Sport front seats; Automatic A/C; Rain sensor; Start-stop system,1 496 ccm,,,,,,,,,,,,
665,bmw 225-active-tourer,61024079,BMW,225 Active Tourer,Black,,Other interior color,Cloth interior,MPV,4/5 doors,5,not published by the seller,Hybrid,Automatic,4x2,165 kW,,47 g/km,Euro 6d-TEMP,,,,,No,81 100 km,10/2019,,2.1 l/100km (combined),20049,EUR,LED headlights; Navigation system; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor; Multifunctional steering wheel; Side mirrors with electic adjustment; Daytime running lights,1 499 ccm,,1,,9 kWh,,,,,,,,
666,volkswagen polo,61024083,Volkswagen,Polo,Blue,Metallic,Black interior,Velour interior,Hatchback,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,70 kW,,105 g/km,Euro 6,,,,,,65 418 km,12/2019,,4.6 l/100km (combined); 5.7 l/100km (city); 4 l/100km ,17249,EUR,Heated front seats; Apple CarPlay; Android auto; Integrated music streaming; Panoramic roof; Sport front seats; Bluetooth; Automatic 2-zones air conditioning; Rain sensor; Light sensor,999 ccm,,1,,,,,,,,,,
667,jeep renegade,61024072,Jeep,Renegade,White,,Grey interior,,SUV / offroad,4/5 doors,5,not published by the seller,Petrol,Manual,4x2,88 kW,,134 g/km,Euro 6,,,,,,60 625 km,4/2019,Used,5.9 l/100km (combined),16399,EUR,Keyless ignition; Automatic multi-zone A/C; Rear parking camera; Automatic lights; Rain sensor; Blind spot assist; Multifunctional steering wheel; Daytime running lights; Start-stop system; USB,999 ccm,,,,,,,12/2024,,,,,
668,mercedes-benz a-200,61024073,Mercedes-Benz,A 200,Black,,,,Hatchback,4/5 doors,5,not published by the seller,Diesel,Automatic,4x2,110 kW,,129 g/km,Euro 6,,,,,,33 579 km,6/2021,Used,4.9 l/100km (combined),31499,EUR,Navigation system; Paddle shifters; Rear parking camera; Automatic A/C; Rain sensor; Electrically heated side mirrors; Alloy wheels,1 950 ccm,,1,,,,,12/2025,,,,,
669,hyundai tucson,61024086,Hyundai,Tucson,Grey,,Other interior color,Other interior material,SUV / offroad,4/5 doors,5,not published by the seller,Diesel,Manual,4x2,85 kW,,126 g/km,No emission class,,,,,,58 100 km,3/2019,Used,4.8 l/100km (combined); 4.8 l/100km (city); 4.8 l/100km ,23149,EUR,Bluetooth; Automatic A/C; Side mirrors with electic adjustment; Alarm; USB; Front electric windows; Alloy wheels,1 598 ccm,,,,,,,,1425,Spain,,,
